DOI,Layer,Indegree,Direct,Freq,Seed,Citation_Count,Score
10.1523/jneurosci.3002-07.2007,2,1,0,1,0,141,38.4714
10.1038/nn2070,2,1,0,1,0,417,38.1199
10.1146/annurev.psych.56.091103.070229,2,1,0,1,0,1110,37.1066
10.1146/annurev.neuro.28.061604.135722,2,1,0,1,0,1125,37.0794
10.1007/s00213-006-0578-x,2,2,0,2,0,1720,18.7879
10.1016/j.brainresrev.2007.10.007,2,1,0,1,0,186,38.4109
10.1038/35083586,2,1,0,1,0,475,38.0521
10.1016/j.tics.2005.05.010,2,1,0,1,0,253,38.3231
10.1523/jneurosci.22-21-09475.2002,2,2,0,2,0,1288,18.715
10.1038/nn1683,2,1,0,1,0,300,38.2631
10.1038/22268,2,1,0,1,0,1252,36.8646
10.1146/annurev.neuro.25.112701.142922,2,2,0,2,0,1029,19.0652
10.1146/annurev.neuro.22.1.319,2,4,0,4,0,1256,11.22
10.1146/annurev.neuro.29.051605.113038,2,1,0,1,0,3039,38.0317
10.1038/346174a0,2,2,0,2,0,695,19.4468
10.1523/jneurosci.12-12-04745.1992,2,3,0,3,0,1553,13.1839
10.1523/jneurosci.16-04-01486.1996,2,1,0,1,0,653,37.8574
10.3758/cabn.8.4.429,2,1,0,1,0,441,38.0916
10.1016/0010-0285(91)90016-h,2,1,0,1,0,459,38.3019
10.1037/h0043805,2,1,0,1,0,1319,37.5623
10.1037/0096-3445.111.4.369,2,3,0,3,0,42,14.4708
10.1007/s004220050407,2,1,0,1,0,18,38.8637
10.1046/j.1460-9568.1999.00530.x,2,2,0,2,0,71,20.6335
10.1046/j.1460-9568.1999.00531.x,2,2,0,2,0,134,20.4152
10.1016/s0042-6989(00)00083-3,2,1,0,1,0,113,38.7326
10.1126/science.291.5502.312,2,1,0,1,0,857,37.8998
10.1016/s0960-9822(95)00108-4,2,4,0,4,0,669,11.1448
10.1146/annurev.ne.19.030196.000545,2,3,0,3,0,1029,14.3482
10.1016/s0960-9822(06)00291-0,2,1,0,1,0,166,38.6618
10.1038/72140,2,1,0,1,0,993,37.7859
10.1037/0096-3445.115.1.39,2,1,0,1,0,1629,37.3979
10.1152/jn.1971.34.5.920,2,2,0,2,0,359,20.0785
10.1073/pnas.94.7.3408,2,1,0,1,0,463,38.2974
10.1523/jneurosci.21-04-01340.2001,2,1,0,1,0,185,38.6369
10.1016/s0010-0277(98)00016-x,2,1,0,1,0,132,38.707
10.1016/0042-6989(80)90128-5,2,1,0,1,0,1171,37.6551
10.1038/nn.2599,2,1,0,1,0,677,37.9336
10.1016/s0896-6273(00)80629-7,2,3,0,3,0,824,14.553
10.1073/pnas.0437938100,2,3,0,3,0,775,14.559
10.1016/j.neuron.2004.08.031,2,3,0,3,0,773,14.704
10.1016/j.neuron.2009.01.011,2,1,0,1,0,257,38.4146
10.1126/science.8036517,2,6,0,6,0,2462,13.3313
10.1016/s0896-6273(02)01096-6,2,3,0,3,0,1081,14.2076
10.1038/nn1825,2,6,0,6,0,1372,9.7446
10.1016/j.neuron.2004.10.007,2,4,0,4,0,565,11.9188
10.1038/nn.2384,2,1,0,1,0,1262,37.3217
10.1002/hipo.20707,2,1,0,1,0,682,37.9286
10.1126/science.1138581,2,4,0,4,0,977,11.0925
10.1126/science.1179013,2,1,0,1,0,435,38.1972
10.1038/nn.2744,2,1,0,1,0,283,38.3816
10.1016/j.neuron.2009.07.027,2,1,0,1,0,730,37.8809
10.1146/annurev.neuro.31.061307.090723,2,1,0,1,0,1466,36.9573
10.1152/jn.00404.2011,2,1,0,1,0,44,38.7005
10.1016/0022-247x(65)90154-x,2,5,0,5,0,485,11.7155
10.1016/0890-5401(92)90048-k,2,2,0,2,0,307,22.6699
10.1016/0004-3702(94)00086-g,2,1,0,1,0,76,40.6477
10.1287/opre.32.5.1107,2,2,0,2,0,100,21.999
10.1007/bf02283610,2,1,0,1,0,48,40.681
10.1109/tssc.1966.300074,2,1,0,1,0,559,40.1475
10.1016/0004-3702(94)00087-h,2,2,0,2,0,107,22.758
10.1007/bf02055574,2,2,0,2,0,343,22.5022
10.1287/mnsc.28.1.1,2,4,0,4,0,576,13.4563
10.1613/jair.277,2,1,0,1,0,70,40.6548
10.1287/opre.21.5.1071,2,4,0,4,0,822,13.4025
10.1287/opre.26.2.282,2,3,0,3,0,346,16.2289
10.1016/0167-6377(90)90022-w,2,1,0,1,0,45,40.6846
10.1007/bf00934845,2,2,0,2,0,33,22.8682
10.1007/bf02204836,2,1,0,1,0,109,40.6091
10.1287/opre.37.5.791,2,3,0,4,0,38,16.6948
10.1016/0304-3975(95)00188-3,2,1,0,1,0,311,40.3868
10.1016/0166-2236(93)90081-v,3,1,0,1,0,616,7.0637
10.1038/347069a0,3,1,0,1,0,677,7.0079
10.1038/320172a0,3,2,0,2,0,693,10.3785
10.1523/jneurosci.10-03-00909.1990,3,1,0,1,0,386,7.4846
10.1038/346724a0,3,1,0,1,0,529,7.1912
10.1016/0022-510x(73)90175-5,3,1,0,1,0,2158,15.7663
10.1073/pnas.90.17.8277,3,1,0,1,0,47,7.8729
10.1523/jneurosci.02-01-00032.1982,3,1,0,1,0,2206,16.1966
10.1038/361031a0,3,4,0,4,0,9326,69.6429
10.1113/jphysiol.1973.sp010273,3,4,0,4,0,5048,24.8381
10.1016/0014-2999(91)90505-k,3,1,0,1,0,515,7.2179
10.1038/315409a0,3,1,0,1,0,113,7.7694
10.1073/pnas.86.20.8113,3,1,0,1,0,156,7.709
10.1016/0896-6273(92)90104-l,3,1,0,1,0,1476,10.1299
10.1016/s0166-4328(05)80288-8,3,1,0,1,0,10,7.9364
10.7551/mitpress/2010.001.0001,3,1,0,1,0,808,7.0138
10.1038/332444a0,3,1,0,1,0,232,7.6161
10.1073/pnas.84.12.4342,3,1,0,1,0,256,7.5905
10.1038/337129a0,3,1,0,1,0,474,7.3061
10.1001/archneur.1985.04060030081013,3,1,0,1,0,339,7.5165
10.1038/366059a0,3,1,0,1,0,536,13.746
10.1523/jneurosci.15-03-01617.1995,3,1,0,1,0,427,13.827
10.3758/bf03200017,3,1,0,1,0,27,14.3023
10.3758/bf03200062,3,1,0,1,0,21,14.3115
10.3758/bf03197899,3,1,0,1,0,12,14.3253
10.1007/bf00172219,3,1,0,1,0,135,14.1472
10.1007/978-1-4615-2814-2_4,3,1,0,1,0,95,14.2024
10.1126/science.1887231,3,1,0,1,0,217,14.0425
10.2307/1936663,3,1,0,1,0,166,14.1063
10.2307/1938384,3,1,0,1,0,80,14.2238
10.2307/1938299,3,1,0,1,0,17,14.3176
10.1038/275027a0,3,2,0,2,0,464,7.0625
10.1073/pnas.72.2.710,3,1,0,1,0,120,14.1676
10.1007/bf00218409,3,1,0,1,0,52,14.2647
10.1007/bf00217108,3,1,0,1,0,65,14.2456
10.1523/jneurosci.15-01-00342.1995,3,1,0,1,0,140,14.1405
10.1523/jneurosci.13-03-00900.1993,3,1,0,1,0,967,13.3555
10.1109/tsmc.1983.6313077,3,3,0,3,0,2123,9.7404
10.1016/0006-8993(92)90110-u,3,1,0,1,0,215,14.0149
10.1016/0306-4522(89)90354-0,3,1,0,1,0,497,13.7402
10.1523/jneurosci.03-08-01599.1983,3,1,0,1,0,191,14.0447
10.1016/0896-6273(93)90304-a,3,1,0,1,0,374,13.8428
10.1016/0306-4522(89)90353-9,3,1,0,1,0,348,13.8679
10.1016/0006-8993(87)90988-7,3,1,0,1,0,134,14.1193
10.1038/scientificamerican1269-98,3,1,0,1,0,124,14.133
10.1016/s0079-6123(08)63818-2,3,1,0,1,0,99,14.1678
10.1152/physrev.1992.72.1.165,3,1,0,1,0,2069,15.939
10.1016/s0079-6123(08)63837-6,3,1,0,1,0,54,14.2332
10.1016/0006-8993(91)90140-q,3,1,0,1,0,28,14.2724
10.1152/jn.1992.67.1.145,3,1,0,1,0,742,13.5192
10.1002/cne.902140206,3,1,0,1,0,1682,14.1208
10.1016/0006-8993(89)90210-2,3,1,0,1,0,121,14.1371
10.1016/0014-4886(76)90089-3,3,1,0,1,0,169,14.0728
10.1016/s0079-6123(08)63051-4,3,1,0,1,0,10,14.3002
10.1016/0165-0173(87)90011-7,3,2,0,2,0,810,7.8799
10.1016/0091-3057(83)90261-7,3,1,0,1,0,69,14.1336
10.1016/0006-8993(81)90177-3,3,1,0,1,0,70,14.1321
10.1007/bf00421062,3,1,0,1,0,280,13.8568
10.1016/0006-8993(75)90233-4,3,1,0,1,0,1493,14.445
10.1016/0014-2999(76)90352-6,3,1,0,1,0,590,13.332
10.1007/bf00426456,3,1,0,1,0,117,14.064
10.1016/0091-3057(85)90574-x,3,1,0,1,0,78,14.1202
10.1037/h0058775,3,1,0,1,0,2152,18.2482
10.1016/0022-3956(71)90033-1,3,1,0,1,0,49,14.1637
10.1016/0006-8993(77)91015-0,3,1,0,1,0,16,14.2148
10.1037/h0040694,3,2,0,2,0,182,11.3607
10.3758/bf03326894,3,1,0,1,0,16,14.2148
10.1016/0091-3057(84)90104-7,3,1,0,1,0,124,14.0542
10.1016/0006-8993(89)91400-5,3,1,0,1,0,63,14.1425
10.1126/science.1114313,3,1,0,1,0,435,13.655
10.1007/bf00428151,3,1,0,1,0,439,13.6453
10.1016/0304-3940(87)90451-4,3,1,0,1,0,231,13.9143
10.1016/0091-3057(89)90019-1,3,1,0,1,0,104,14.0825
10.1097/00008877-199000140-00009,3,1,0,1,0,156,14.0103
10.1016/0091-3057(80)90166-5,3,2,0,2,0,573,11.0583
10.1016/0091-3057(75)90091-x,3,1,0,1,0,13,14.3278
10.1037/0735-7044.104.1.177,3,1,0,1,0,207,14.0589
10.1016/0091-3057(86)90092-4,3,1,0,1,0,61,14.2555
10.1016/0091-3057(74)90085-9,3,1,0,1,0,127,14.1622
10.1016/0091-3057(76)90205-7,3,1,0,1,0,20,14.317
10.1037/h0083703,3,1,0,1,0,107,14.1897
10.1523/jneurosci.09-10-03400.1989,3,1,0,1,0,149,14.1327
10.1038/266556a0,3,1,0,1,0,391,13.8629
10.1007/bf00433088,3,2,0,2,0,29,11.5224
10.1016/0014-2999(90)90540-m,3,1,0,1,0,34,14.2957
10.1037/h0036330,3,3,0,3,0,419,10.422
10.1037/h0033120,3,2,0,2,0,714,6.7238
10.1016/0006-8993(87)91327-8,3,1,0,1,0,105,14.1925
10.1007/978-1-4612-4812-5_14,3,1,0,1,0,25,14.3094
10.1016/0165-0270(80)90016-3,3,1,0,1,0,56,14.2628
10.1016/0024-3205(81)90148-x,3,1,0,1,0,416,13.8409
10.1126/science.6324347,3,1,0,1,0,213,14.0516
10.1016/0006-8993(81)90962-8,3,1,0,1,0,15,14.3247
10.1016/0006-8993(83)91232-5,3,1,0,1,0,79,14.2293
10.1111/j.1471-4159.1989.tb09224.x,3,2,0,2,0,926,7.7802
10.1016/0304-3940(90)90141-u,3,1,0,1,0,101,14.4473
10.1111/j.1471-4159.1992.tb10033.x,3,1,0,1,0,178,14.3499
10.1097/00008877-199410000-00001,3,1,0,1,0,82,14.4728
10.1007/bf00442800,3,1,0,1,0,169,14.3608
10.1016/0014-2999(91)90214-b,3,1,0,1,0,112,14.4328
10.1097/00008877-199308000-00009,3,1,0,1,0,16,14.566
10.1016/0006-8993(89)90251-5,3,1,0,1,0,121,14.4211
10.1146/annurev.ne.09.030186.002041,3,2,0,2,0,6642,51.6743
10.1016/0306-4522(88)90217-5,3,1,0,1,0,1019,13.9612
10.1016/0091-3057(85)90014-0,3,1,0,1,0,63,14.4989
10.1126/science.7188649,3,1,0,1,0,445,14.0902
10.1016/0091-3057(85)90372-7,3,1,0,1,0,61,14.5017
10.1007/bf00429279,3,1,0,1,0,104,14.4433
10.1111/j.1476-5381.1972.tb06866.x,3,1,0,1,0,368,14.1525
10.1016/0028-3908(75)90129-x,3,1,0,1,0,74,14.4837
10.1016/0031-9384(86)90409-9,3,1,0,1,0,40,14.5313
10.1016/0091-3057(89)90298-0,3,1,0,1,0,20,14.5601
10.1038/npp.1993.3,3,1,0,1,0,40,14.5313
10.1007/bf02244208,3,1,0,1,0,281,14.2352
10.1016/0014-2999(70)90006-3,3,2,0,2,0,890,8.0287
10.1016/0006-8993(70)90186-1,3,1,0,1,0,113,7.5503
10.1016/0006-2952(73)90147-0,3,1,0,1,0,130,7.5254
10.1111/j.1476-5381.1971.tb07177.x,3,1,0,1,0,67,7.622
10.1016/0006-8993(74)90647-7,3,2,0,2,0,76,11.1352
10.1016/0006-8993(72)90734-2,3,2,0,2,0,218,10.9391
10.1016/0006-8993(72)90735-4,3,2,0,2,0,186,10.9795
10.1016/0024-3205(66)90006-3,3,2,0,2,0,50,11.1756
10.1007/bf00403900,3,1,0,1,0,831,7.0992
10.1111/j.1476-5381.1973.tb08194.x,3,1,0,1,0,100,7.5699
10.1016/0028-3908(73)90120-2,3,1,0,1,0,184,7.4523
10.1007/bf00505669,3,2,0,2,0,98,11.0008
10.1126/science.179.4073.575,3,1,0,1,0,173,7.4665
10.1016/0024-3205(63)90087-0,3,1,0,1,0,71,7.6155
10.1037/h0035289,3,1,0,1,0,127,7.5297
10.1016/0006-8993(71)90182-x,3,1,0,1,0,32,7.6809
10.1016/0014-4886(74)90089-2,3,1,0,1,0,25,7.6931
10.1037/h0027655,3,2,0,2,0,177,10.9076
10.1016/0014-2999(72)90132-x,3,1,0,1,0,146,7.5028
10.1016/0006-8993(76)90078-0,3,2,0,2,0,312,13.6458
10.1111/j.1471-4159.1974.tb06061.x,3,1,0,1,0,66,14.0793
10.1038/254439a0,3,1,0,1,0,42,14.1161
10.1016/s0021-9673(01)96577-x,3,1,0,1,0,67,14.0778
10.1016/0006-8993(74)90618-0,3,1,0,1,0,233,13.7904
10.1126/science.184.4133.177,3,1,0,1,0,250,13.7455
10.1016/0006-8993(74)90947-0,3,1,0,1,0,422,13.3628
10.1152/ajplegacy.1975.229.6.1547,3,1,0,1,0,89,14.045
10.1016/0006-8993(76)90500-x,3,1,0,1,0,47,14.1084
10.1016/0361-9230(76)90110-6,3,2,0,2,0,33,14.3366
10.1016/0091-3057(76)90018-6,3,2,0,2,0,34,14.335
10.1016/0361-9230(77)90006-5,3,1,0,1,0,28,14.138
10.1016/0006-8993(76)90615-6,3,1,0,1,0,89,14.045
10.1016/0006-8993(73)90795-6,3,1,0,1,0,44,14.113
10.1016/s0091-6773(72)80218-9,3,2,0,2,0,89,14.2498
10.1037/h0030927,3,1,0,1,0,85,14.0509
10.1016/0006-8993(76)90797-6,3,1,0,1,0,29,14.1364
10.1126/science.184.4143.1243,3,1,0,1,0,706,13.1808
10.1037/h0026767,3,1,0,1,0,199,13.8838
10.1007/bf00421222,3,1,0,1,0,40,14.0793
10.1016/0091-3057(76)90200-8,3,1,0,1,0,151,13.7745
10.1016/0006-8993(69)90003-1,3,1,0,1,0,690,13.4781
10.1016/0006-8993(77)90960-x,3,1,0,1,0,90,13.9386
10.1016/0304-3940(75)90036-1,3,1,0,1,0,24,14.1046
10.1037/h0081676,3,1,0,1,0,156,13.7621
10.1016/0091-3057(74)90103-8,3,1,0,1,0,73,13.9887
10.1016/0091-3057(73)90083-x,3,1,0,1,0,25,14.103
10.1007/bf00422799,3,1,0,1,0,79,13.9708
10.1007/bf00421431,3,1,0,1,0,35,14.0871
10.1016/0006-8993(71)90272-1,3,1,0,1,0,79,14.2231
10.1016/0304-3940(77)90018-0,3,1,0,1,0,10,14.3264
10.1016/0031-9384(74)90313-8,3,1,0,1,0,108,14.1821
10.1016/0006-8993(75)90885-9,3,1,0,1,0,30,14.2956
10.1016/0006-8993(76)90007-x,3,1,0,1,0,148,14.1277
10.1016/0006-8993(77)91025-3,3,1,0,1,0,23,14.3063
10.1016/0006-8993(77)90047-6,3,2,0,2,0,65,11.5687
10.1016/0006-8993(79)90461-x,3,1,0,1,0,110,14.1793
10.1037/h0077391,3,1,0,1,0,77,14.226
10.1002/cne.901800310,3,1,0,1,0,998,13.3111
10.1016/0304-3940(78)90160-x,3,1,0,1,0,127,14.1559
10.1146/annurev.pa.18.040178.000345,3,1,0,1,0,250,14.0013
10.1007/bf00428696,3,1,0,1,0,199,14.0623
10.1037/h0077500,3,1,0,1,0,178,14.0887
10.1016/0006-8993(76)90809-x,3,1,0,1,0,259,13.991
10.1016/0091-3057(78)90361-1,3,1,0,1,0,150,14.1251
10.1007/bf00401545,3,1,0,1,0,237,8.3095
10.1007/978-1-4684-2394-5_7,3,1,0,1,0,38,8.5196
10.1016/0165-0173(79)90017-1,3,1,0,1,0,257,8.2948
10.1016/0166-2236(79)90022-5,3,1,0,1,0,44,8.5116
10.1016/s0031-6997(25)06839-5,3,1,0,1,0,396,8.226
10.1037/h0041029,3,1,0,1,0,1473,9.599
10.1016/s0091-3057(80)80033-5,3,1,0,1,0,261,8.292
10.1007/bf00403631,3,1,0,1,0,42,8.5142
10.1007/bf00492365,3,1,0,1,0,40,8.5169
10.1016/0006-8993(73)90045-0,3,1,0,1,0,81,8.4646
10.1126/science.173.4002.1103,3,1,0,1,0,1138,8.8438
10.1017/s0140525x00009869,3,1,0,1,0,360,8.2382
10.1001/archpsyc.1971.01750080089015,3,1,0,1,0,44,8.5116
10.1901/jeab.1980.34-219,3,1,0,1,0,699,8.2822
10.1126/science.7244622,3,1,0,1,0,141,8.3965
10.1016/0091-3057(81)90225-2,3,2,0,2,0,74,8.6238
10.3758/bf03335333,3,1,0,1,0,65,8.2667
10.1016/0024-3205(81)90314-3,3,1,0,1,0,44,8.2945
10.1016/0006-8993(81)90187-6,3,1,0,1,0,32,8.311
10.1016/0091-3057(78)90296-4,3,1,0,1,0,45,8.2932
10.1016/0091-3057(75)90121-5,3,1,0,1,0,19,8.3293
10.1016/0091-3057(82)90434-8,3,1,0,1,0,19,8.3293
10.1126/science.850798,3,1,0,1,0,28,8.3166
10.3758/bf03332973,3,2,0,2,0,14,11.4539
10.1111/j.1476-5381.1981.tb09967.x,3,1,0,1,0,40,8.3
10.1016/0091-3057(80)90051-9,3,1,0,1,0,68,8.2628
10.1007/bf00426515,3,1,0,1,0,43,8.2959
10.1007/bf00432132,3,2,0,2,0,101,11.3248
10.1016/0091-3057(81)90110-6,3,1,0,1,0,55,8.2798
10.1016/0091-3057(83)90290-3,3,2,0,2,0,29,11.4306
10.1017/s0140525x00059380,3,3,0,3,0,559,5.6024
10.1038/215375a0,3,1,0,1,0,31,8.3124
10.1007/bf00432676,3,1,0,1,0,131,8.172
10.1016/0014-2999(74)90109-5,3,1,0,1,0,233,8.0418
10.1016/0091-3057(81)90208-2,3,1,0,1,0,150,8.1455
10.1016/0006-8993(79)90206-3,3,1,0,1,0,96,8.2236
10.1192/bjp.137.4.379,3,1,0,1,0,164,8.1266
10.1007/bf00401511,3,1,0,1,0,65,8.2722
10.1016/0024-3205(81)90157-0,3,1,0,1,0,242,8.0318
10.1016/0014-2999(71)90121-x,3,1,0,1,0,339,7.9396
10.1001/archpsyc.1972.01750260021004,3,1,0,1,0,351,7.9303
10.1016/0091-3057(73)90091-9,3,1,0,1,0,166,8.1239
10.1126/science.566469,3,1,0,1,0,495,7.8532
10.1016/s0022-3565(25)32116-6,3,1,0,1,0,46,14.0959
10.1037/h0081662,3,1,0,1,0,373,13.4052
